EXTERNAL/TSAI:  VERSION OF 8/8/96

#                                                                       
#                                                                       
#                                                                       
H                                                                       
Rosen07                                                                 

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  1);   avgA =   1.000; amuM=  1.007; avgM=  0.938
 targ=CRYO17 ; ttarg(rl)=0.01120; twall=0.00225; tbeam=0.00169; tspec=0.01045
         Nseg  =   2
 MODELS: P elastc(ikk)=15; deut elastic=13; inelastc=  4; Pauli Supresion= 1
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

 12.50  1.00 19.00 21.10 0.853E-01  0.00  0.00  1.00108.10  0.00 54.38
 12.50  4.00 19.00 11.38 0.227E+01  0.00  0.00  1.00  0.01  0.00  1.04
 12.50  4.12 19.00 10.98 0.217E+01  0.00  0.00  1.00  0.01  0.00  1.03
 12.50  4.25 19.00 10.57 0.207E+01  0.00  0.00  1.00  0.01  0.00  1.01
 12.50  4.38 19.00 10.17 0.196E+01  0.00  0.00  1.00  0.01  0.00  1.00
 12.50  4.50 19.00  9.76 0.184E+01  0.00  0.00  1.00  0.01  0.00  0.99
 12.50  4.62 19.00  9.36 0.173E+01  0.00  0.00  1.00  0.01  0.00  0.98
 12.50  4.75 19.00  8.95 0.161E+01  0.00  0.00  1.00  0.01  0.00  0.96
 12.50  4.88 19.00  8.55 0.148E+01  0.00  0.00  1.00  0.01  0.00  0.95
 12.50  5.00 19.00  8.14 0.136E+01  0.00  0.00  1.00  0.01  0.00  0.94
 12.50  5.12 19.00  7.74 0.124E+01  0.00  0.00  1.00  0.00  0.00  0.93
 12.50  5.25 19.00  7.34 0.112E+01  0.00  0.00  1.00  0.00  0.00  0.92
 12.50  5.38 19.00  6.93 0.100E+01  0.00  0.00  1.00  0.00  0.00  0.90
 12.50  5.50 19.00  6.53 0.884E+00  0.00  0.00  1.00  0.00  0.00  0.89
 12.50  5.62 19.00  6.12 0.773E+00  0.00  0.00  1.00  0.00  0.00  0.88
 12.50  5.75 19.00  5.72 0.666E+00  0.00  0.00  1.00  0.00  0.00  0.87
 12.50  5.88 19.00  5.31 0.565E+00  0.00  0.00  1.00  0.00  0.00  0.86
 12.50  6.00 19.00  4.91 0.471E+00  0.00  0.00  1.00  0.00  0.00  0.85
 12.50  6.12 19.00  4.50 0.385E+00  0.00  0.00  1.00  0.00  0.00  0.83
 12.50  6.25 19.00  4.10 0.310E+00  0.00  0.00  1.00  0.00  0.00  0.82
 12.50  6.38 19.00  3.69 0.244E+00  0.00  0.00  1.00  0.00  0.00  0.80
 12.50  6.50 19.00  3.29 0.178E+00  0.00  0.00  1.00  0.01  0.00  0.79
 12.50  6.62 19.00  2.88 0.122E+00  0.00  0.00  1.00  0.01  0.00  0.77
 12.50  6.75 19.00  2.48 0.804E-01  0.00  0.00  1.00  0.01  0.00  0.78
 12.50  6.88 19.00  2.07 0.530E-01  0.00  0.00  1.00  0.02  0.00  0.72
 12.50  7.00 19.00  1.67 0.251E-01  0.00  0.00  1.00  0.05  0.00  0.69
 12.50  7.12 19.00  1.26 0.253E-02  0.00  0.00  1.00  0.90  0.00  0.55
  0.000 0.000  0.000 .000  0.00  0.00  0.00  0.00  0.00  0.00 0.000
                           0.00  0.00  0.00  0.00  0.00  0.00 0.000E+00

